nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Rue des Boulets;Métro 9;2.3891047050322425;48.85221407333194;0.75
Rungis la Fraternelle;RER C;2.3521980873905326;48.74021613668418;0.25
Saint-Denis - Porte de Paris;Métro 13;2.3561729251015997;48.929922750445755;0.75
Saint-Fargeau;RER D;2.5426100742385285;48.56502608446919;0.25
Saint-Germain-en-Laye;RER A;2.095041912326374;48.898745300550765;0.5
Saint-Maur - Créteil;RER A;2.4729094308778183;48.80619648110731;0.25
Saint-Michel Notre-Dame;RER C;2.344959780029387;48.853023793740164;0.75
Saint-Michel-sur-Orge;RER C;2.3068029676156123;48.635615525211605;0.25
Saint-Ouen;Métro 14;2.3227559546697414;48.90516956991565;0.75
Saint-Ouen-l'Aumône;RER C;2.105230857870794;49.04530690087292;0.25
Saint-Paul (Le Marais);Métro 1;2.3608852562751967;48.85518742160445;0.5
Savigny-le-Temple - Nandy;RER D;2.5839359760934313;48.59548998563483;0.25
Ségur;Métro 10;2.307137849403385;48.847167269995026;0.75
Sentier;Métro 3;2.3475137108219895;48.86728343166051;0.75
